,Nearest City Names,Countries,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
0,Upernavik,GL,-45.34,86.47,32.16,100,11.83,80
1,Busselton,AU,103.03,-57.01,34.77,92,26.37,88
2,Tignere,CM,12.82,6.99,63.66,99,0.76,92
3,Cape Town,ZA,-11.76,-78.83,-19.41,44,12.06,36
4,Georgetown,SH,-21.53,-15.93,74.64,100,15.64,0
5,Port Alfred,ZA,39.21,-63.59,18.12,100,15.08,32
6,Guarapari,BR,-32.92,-25.39,70.77,100,16.58,100
7,Rikitea,PF,-123.8,-51.2,47.37,90,34.43,92
8,Amderma,RU,67.22,75.03,32.88,96,10.94,32
9,Ushuaia,AR,-45.7,-89.33,-51.45,0,8.52,36
10,Namatanai,PG,158.97,5.52,83.82,100,6.4,76
11,Emba,KZ,59.94,47.49,74.37,40,11.05,44
12,Sao Joao Da Barra,BR,-22.14,-32.26,64.56,96,14.29,64
13,Sentyabrskiy,RU,151.18,46.66,43.77,93,16.91,80
14,Luwuk,ID,123.35,-1.07,79.32,100,7.85,76
15,Hobart,AU,146.54,-56.38,34.32,96,18.54,88
16,Hastings,NZ,178.71,-40.85,52.41,100,12.33,88
17,Popondetta,PG,149.67,-8.9,80.94,97,20.67,64
18,Butaritari,KI,167.61,2.17,84.54,100,5.35,64
19,Nanortalik,GL,-35.55,52.54,49.26,89,14.29,92
20,Taltal,CL,-77.29,-24.61,62.94,100,24.85,0
21,Puerto Ayora,EC,-92.71,-10.35,73.11,100,17.81,0
22,Longyearbyen,SJ,15.09,87.15,31.8,100,16.08,68
23,Lompoc,US,-121.53,32.26,62.22,100,22.68,0
24,Vila Velha,BR,-21.46,-31.54,65.01,95,14.63,12
25,Rikitea,PF,-134.5,-77.23,1.56,70,30.89,68
26,Arraial Do Cabo,BR,-29.28,-44.77,45.21,97,25.19,80
27,Klaksvik,FO,-3.72,77.09,37.56,94,17.69,0
28,Hermanus,ZA,9.55,-88.73,-54.15,0,9.37,24
29,Mar Del Plata,AR,-27.8,-68.23,16.41,92,10.09,76
30,Avera,PF,-153.4,-25.65,72.57,100,19.93,48
31,Khatanga,RU,101.96,83.66,32.25,98,9.42,88
32,Takoradi,GH,0.53,-2.19,76.8,100,13.96,0
33,Fairbanks,US,-144.51,74.62,31.71,100,15.12,80
34,Burnie,AU,143.16,-41.37,55.92,100,22.46,64
35,Vestmanna,FO,-8.9,67.19,43.59,95,12.39,80
36,Fortuna,US,-137.88,37.4,65.82,97,9.53,68
37,Castro,CL,-95.14,-47.92,46.47,96,21.68,80
38,Taltal,CL,-74.1,-25.22,61.59,99,28.21,0
39,Ushuaia,AR,-52.35,-54.28,38.82,100,23.06,64
40,Bluff,NZ,168.18,-69.87,-8.25,95,3.22,44
41,Mahebourg,MU,63.95,-29.03,66.09,100,20.33,76
42,Rikitea,PF,-131.95,-19.61,74.55,100,17.13,32
43,Fukue,JP,126.29,31.84,72.39,99,8.86,88
44,Ushuaia,AR,-44.09,-75.44,-4.92,95,4.23,76
45,Hobart,AU,133.33,-81.8,-42.09,69,16.58,32
46,Fortuna,US,-138.91,36.55,66.72,96,8.93,24
47,Muravlenko,RU,73.15,63.75,56.55,100,5.91,92
48,Bambous Virieux,MU,70.6,-27.66,67.17,100,7.29,88
49,Illoqqortoormiut,GL,-28.51,87.75,31.62,100,7.25,88
50,Saint-Philippe,RE,70.24,-51.7,34.59,100,29.17,48
51,Doctor Pedro P. Pena,PY,-61.21,-22.53,74.28,71,3.04,92
52,Turayf,SA,38.46,33.19,59.61,53,2.77,0
53,Barrow,US,-163.03,71.26,30.45,100,4.61,0
54,Tiksi,RU,125.83,89.15,31.53,100,10.65,24
55,Touros,BR,-35.2,-3.65,81.57,98,21.56,20
56,Georgetown,SH,-21.05,-3.21,75.54,100,13.06,100
57,Ancud,CL,-77.54,-41.06,53.94,100,24.18,92
58,Rikitea,PF,-110.04,-27.32,66.2,72,17.22,40
59,Punta Arenas,CL,-117.67,-71.14,24.78,81,16.31,88
60,Ponta Delgada,PT,-27.77,29.7,70.77,100,15.12,92
61,Rikitea,PF,-121.26,-29.08,69.6,100,10.54,88
62,Norman Wells,CA,-122.72,76.55,32.16,99,14.85,88
63,Mar Del Plata,AR,-50.53,-48.24,46.83,100,36.82,48
64,Balikpapan,ID,117.18,-1.55,81.21,100,5.01,56
65,Albany,AU,116.69,-72.55,-67.65,0,12.55,0
66,Richards Bay,ZA,36.9,-31.46,69.42,100,16.98,56
67,Ojinaga,MX,-104.49,30.56,82.4,37,8.14,1
68,Dor Marunt,RO,26.96,44.43,64.4,100,4.7,0
69,Taolanaro,MG,53.35,-44.19,39.9,100,22.35,64
70,New Norfolk,AU,133.95,-76.86,-53.7,0,18.32,32
71,Sorong,ID,131.66,0.13,77.88,100,5.06,44
72,Flinders,AU,129.87,-37.25,56.73,100,9.08,88
73,Shelburne,CA,-65.39,40.26,61.95,100,8.41,100
74,Saleaula,WS,-169.46,0.57,80.04,100,9.31,68
75,Punta Arenas,CL,-101.31,-86.34,-40.02,0,12.66,0
76,Buzmeyin,TM,59.12,39.58,86.52,21,7.02,88
77,Beyla,GN,-8.69,8.94,66.9,97,5.01,80
78,Nhulunbuy,AU,138.82,-11.21,78.51,100,19.44,0
79,Tezu,IN,97.8,29.86,55.56,46,2.89,0
80,Port Macquarie,AU,161.29,-35.07,60.87,100,6.35,24
81,Saskylakh,RU,115.36,72.53,57.27,76,18.81,80
82,Albany,AU,106.72,-53.38,38.82,91,27.65,92
83,Avarua,CK,-161.11,-19.91,77.52,100,7.92,92
84,Sentyabrskiy,RU,164.76,27.04,77.61,100,11.27,88
85,Buraydah,SA,44.42,24.26,74.82,24,8.08,0
86,Angoche,MZ,40.08,-16.15,76.44,100,17.87,88
87,Yulara,AU,129.02,-30.27,64.47,42,4.79,0
88,Hermanus,ZA,-1.82,-89.33,-52.98,0,8.14,12
89,Torbay,CA,-48.05,42.21,61.5,79,24.07,92
90,Hilo,US,-156.18,15.39,78.96,100,19.82,68
91,Albany,AU,119.85,-44.56,48.36,100,7.29,32
92,Bossangoa,CF,17.02,6.24,66.81,97,3.11,80
93,Mataura,PF,-151.06,-27.79,69.51,100,21.9,64
94,Illoqqortoormiut,GL,-27.98,77.1,17.31,79,10.31,32
95,Atuona,PF,-130.13,8.7,80.22,100,14.29,32
96,Yellowknife,CA,-102.01,85.71,31.89,100,7.07,76
97,Puerto Ayora,EC,-97.32,-11.45,73.29,100,15.3,80
98,Mount Isa,AU,140.39,-20.03,74.19,37,6.62,0
99,Okato,NZ,172.58,-39.16,54.57,100,13.11,92
100,Hithadhoo,MV,79.68,-12.49,78.6,100,7.81,32
101,Nikolskoye,RU,179.48,31.16,70.77,100,19.82,92
102,Port Hardy,CA,-132.87,44.29,57.9,95,13.62,56
103,Jamestown,SH,1.18,-25.26,67.71,100,4.12,44
104,Bluff,NZ,164.36,-89.21,-58.56,0,2.59,24
105,Busselton,AU,112.11,-37.23,57.09,100,8.03,12
106,Norman Wells,CA,-121.54,70.26,39.2,98,8.05,0
107,Khatanga,RU,105.88,72.68,52.32,89,25.19,92
108,Aksha,RU,113.93,49.25,77.16,66,8.08,0
109,Samarai,PG,152.56,-12.28,78.24,100,22.39,64
110,Albany,AU,123.15,-46.69,46.29,100,17.31,56
111,Ushuaia,AR,-68.48,-55.53,37.56,100,29.28,48
112,Ushuaia,AR,-72.06,-70.37,-13.29,41,2.21,0
113,Atuona,PF,-130.31,1.18,80.49,100,15.3,80
114,La Rochelle,FR,-1.68,45.86,55.4,71,13.87,0
115,Bartica,GY,-59.81,6.61,72.39,100,1.21,56
116,Khatanga,RU,102.94,70.5,64.74,89,12.39,24
117,Los Altos,MX,-97.8,21.48,81.39,89,7.92,48
118,Tsihombe,MG,46.42,-45.45,39.72,100,15.9,88
119,New Norfolk,AU,127.36,-65.46,10.02,88,22.91,64
120,Punta Arenas,CL,-105.91,-87.03,-41.28,0,10.65,8
121,Yanam,IN,82.41,16.8,89.49,72,7.36,44
122,Pacific Grove,US,-136.28,28.04,68.34,100,16.2,80
123,Rikitea,PF,-123.3,-40.52,57.0,91,25.64,92
124,Punta Arenas,CL,-93.56,-56.0,37.47,100,11.65,0
125,Quatre Cocos,MU,71.89,-17.56,76.89,100,12.17,80
126,Hermanus,ZA,12.63,-59.4,31.44,96,8.03,76
127,Northam,AU,118.87,-31.21,57.72,76,4.34,0
128,Jamestown,SH,-12.84,-28.1,68.07,100,19.1,76
129,San Ignacio,MX,-106.43,23.88,72.93,71,1.48,80
130,Tuktoyaktuk,CA,-138.94,88.8,31.89,100,13.78,68
131,Vanimo,PG,140.86,-3.44,83.91,66,2.1,20
132,Saint George,BM,-61.13,34.94,75.63,95,23.35,48
133,Puerto Ayora,EC,-114.03,-7.06,77.79,100,19.44,0
134,Norman Wells,CA,-128.69,65.03,57.36,71,2.71,24
135,Kaitangata,NZ,175.89,-57.54,36.12,100,7.85,80
136,Morondava,MG,42.9,-21.25,77.97,100,23.13,0
137,Kodinar,IN,70.22,19.67,84.54,100,13.96,0
138,Saleaula,WS,-172.35,-7.34,83.91,100,12.66,68
139,Turukhansk,RU,88.42,64.1,60.51,92,13.67,76
140,Port Alfred,ZA,42.45,-70.04,-24.99,59,24.36,0
141,Broome,AU,123.08,-22.64,65.91,26,12.33,0
142,Barentsburg,SJ,5.36,85.73,32.16,100,18.7,64
143,Samusu,WS,-167.68,-8.69,83.64,100,10.94,80
144,Turayf,SA,39.4,32.11,63.39,45,10.54,0
145,Henties Bay,NA,8.42,-21.77,67.35,100,20.11,0
146,Rikitea,PF,-127.92,-27.2,73.92,95,11.65,56
147,Hilo,US,-147.86,5.41,80.94,100,6.4,56
148,Salalah,OM,51.71,18.69,79.23,45,2.82,0
149,Meulaboh,ID,90.53,-0.81,83.64,100,2.77,8
150,Nizhneyansk,RU,134.31,75.55,32.97,96,15.3,76
151,Maniitsoq,GL,-56.45,61.72,38.28,97,14.34,92
152,Kaa-Khem,RU,94.67,52.48,56.46,72,2.33,48
153,Rikitea,PF,-108.55,-20.99,71.94,100,15.3,12
154,Punta Arenas,CL,-93.01,-56.72,35.67,100,6.51,0
155,Cape Town,ZA,-8.96,-79.14,-25.98,61,14.56,36
156,Constantine,DZ,5.69,36.99,68.0,82,4.7,40
157,Jamestown,SH,-10.12,-12.18,72.75,100,18.14,88
158,New Norfolk,AU,141.58,-45.31,50.61,100,27.16,92
159,Hasaki,JP,159.66,23.21,80.58,100,6.4,92
160,Souillac,MU,66.31,-40.37,53.31,100,35.43,64
161,Hovd,MN,99.24,44.1,79.41,24,10.27,0
162,Pryozerne,UA,36.33,44.2,75.63,94,13.29,24
163,Jamestown,SH,-10.42,-30.73,66.72,99,27.49,20
164,Guatire,VE,-66.25,10.54,79.59,97,10.27,0
165,Matagami,CA,-78.59,49.89,55.4,62,3.6,1
166,Monatele,CM,10.8,4.27,71.94,100,3.22,92
167,Illoqqortoormiut,GL,-15.84,87.62,30.99,100,3.38,92
168,Naliya,IN,68.0,22.88,84.09,100,15.57,92
169,Saint-Philippe,RE,56.22,-22.22,72.21,100,11.1,76
170,Hobart,AU,146.12,-59.31,32.34,98,5.57,80
171,Illoqqortoormiut,GL,-31.55,79.05,18.12,76,13.33,0
172,Rikitea,PF,-109.65,-34.76,60.06,100,7.58,24
173,Itajobi,BR,-49.14,-21.25,68.0,56,2.48,0
174,Kodiak,US,-151.67,56.59,49.62,100,15.08,76
175,Boyolangu,ID,111.66,-12.17,81.12,98,19.6,24
176,Acapulco,MX,-100.0,16.81,82.4,78,6.29,90
177,San Patricio,MX,-118.28,3.17,78.51,100,14.12,80
178,Cockburn Town,TC,-68.53,23.96,77.97,100,6.06,48
